Estado de cuenta del comerciante

Tipo de informe,Envíos
Sucursal(es) buscada(s),Todas las sucursales
Búsqueda por fechas,19/03/2026 - 09/04/2026
Generados,09/04/2026 09:55:52 a. m.

Envíos

Número de establecimiento que envía,Fecha de la transacción,Cargos totales,Fecha de pago,Monto del pago,Monto del descuento,IVA,Número de factura del monto del resumen de los cargos
9351619110,8/4/2026,"MXN$ 1,686.00",13/4/2026,"MXN$ 1,664.48",(MXN$ 18.55),(MXN$ 2.97),935161911060409
9351619250,8/4/2026,MXN$ 300.00,13/4/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53),935161925060409
9351619284,8/4/2026,MXN$ 621.14,13/4/2026,MXN$ 613.22,(MXN$ 6.83),(MXN$ 1.09),935161928460408
9351619284,8/4/2026,MXN$ 500.00,13/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935161928460409
9351621314,8/4/2026,"MXN$ 1,250.00",13/4/2026,"MXN$ 1,234.05",(MXN$ 13.75),(MXN$ 2.20),935162131460408
9351621322,8/4/2026,"MXN$ 1,271.67",13/4/2026,"MXN$ 1,255.44",(MXN$ 13.99),(MXN$ 2.24),935162132260408
7160841268,7/4/2026,MXN$ 700.01,10/4/2026,MXN$ 691.08,(MXN$ 7.70),(MXN$ 1.23),716084126860407
7460282536,7/4/2026,"MXN$ 2,700.00",10/4/2026,"MXN$ 2,665.55",(MXN$ 29.70),(MXN$ 4.75),746028253660407
7460282536,7/4/2026,"MXN$ 1,327.51",10/4/2026,"MXN$ 1,310.57",(MXN$ 14.60),(MXN$ 2.34),746028253660408
7460297294,7/4/2026,"MXN$ 17,154.80",10/4/2026,"MXN$ 16,935.91",(MXN$ 188.70),(MXN$ 30.19),746029729460407
7460297294,7/4/2026,"MXN$ 1,340.87",10/4/2026,"MXN$ 1,323.76",(MXN$ 14.75),(MXN$ 2.36),746029729460408
8130229545,7/4/2026,"MXN$ 1,166.69",10/4/2026,"MXN$ 1,151.81",(MXN$ 12.83),(MXN$ 2.05),813022954560407
8130229545,7/4/2026,MXN$ 500.00,10/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),813022954560408
8265241414,7/4/2026,MXN$ 314.14,10/4/2026,MXN$ 310.13,(MXN$ 3.46),(MXN$ 0.55),826524141460407
8483272829,7/4/2026,MXN$ 191.90,10/4/2026,MXN$ 189.45,(MXN$ 2.11),(MXN$ 0.34),848327282960407
8483272829,7/4/2026,"MXN$ 2,594.01",10/4/2026,"MXN$ 2,560.91",(MXN$ 28.53),(MXN$ 4.57),848327282960408
8488519166,7/4/2026,"MXN$ 3,355.64",10/4/2026,"MXN$ 3,312.82",(MXN$ 36.91),(MXN$ 5.91),848851916660407
8488519166,7/4/2026,MXN$ 568.31,10/4/2026,MXN$ 561.06,(MXN$ 6.25),(MXN$ 1.00),848851916660408
9350041845,7/4/2026,"MXN$ 3,694.88",10/4/2026,"MXN$ 3,647.74",(MXN$ 40.64),(MXN$ 6.50),935004184560407
9350962107,7/4/2026,"MXN$ 11,013.44",10/4/2026,"MXN$ 10,872.91",(MXN$ 121.15),(MXN$ 19.38),935096210760407
9351619052,7/4/2026,"MXN$ 3,126.01",10/4/2026,"MXN$ 3,086.12",(MXN$ 34.39),(MXN$ 5.50),935161905260407
9351619052,7/4/2026,MXN$ 575.70,10/4/2026,MXN$ 568.36,(MXN$ 6.33),(MXN$ 1.01),935161905260408
9351619078,7/4/2026,MXN$ 500.00,10/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935161907860407
9351619102,7/4/2026,MXN$ 300.00,10/4/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53),935161910260407
9351619102,7/4/2026,MXN$ 498.94,10/4/2026,MXN$ 492.57,(MXN$ 5.49),(MXN$ 0.88),935161910260408
9351619110,7/4/2026,"MXN$ 4,587.17",10/4/2026,"MXN$ 4,528.64",(MXN$ 50.46),(MXN$ 8.07),935161911060407
9351619110,7/4/2026,"MXN$ 1,585.50",10/4/2026,"MXN$ 1,565.27",(MXN$ 17.44),(MXN$ 2.79),935161911060408
9351619227,7/4/2026,"MXN$ 1,126.21",10/4/2026,"MXN$ 1,111.84",(MXN$ 12.39),(MXN$ 1.98),935161922760407
9351619250,7/4/2026,MXN$ 716.73,10/4/2026,MXN$ 707.59,(MXN$ 7.88),(MXN$ 1.26),935161925060408
9351619284,7/4/2026,MXN$ 700.00,10/4/2026,MXN$ 691.07,(MXN$ 7.70),(MXN$ 1.23),935161928460407
9351621314,7/4/2026,MXN$ 500.00,10/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935162131460408
9351621322,7/4/2026,MXN$ 518.86,10/4/2026,MXN$ 512.24,(MXN$ 5.71),(MXN$ 0.91),935162132260407
9353699482,8/4/2026,MXN$ 500.00,10/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935369948260408
7160841268,6/4/2026,MXN$ 803.05,9/4/2026,MXN$ 792.81,(MXN$ 8.83),(MXN$ 1.41),716084126860406
7460282536,6/4/2026,"MXN$ 1,405.31",9/4/2026,"MXN$ 1,387.38",(MXN$ 15.46),(MXN$ 2.47),746028253660406
7460282536,6/4/2026,"MXN$ 1,432.78",9/4/2026,"MXN$ 1,414.50",(MXN$ 15.76),(MXN$ 2.52),746028253660407
7460297294,6/4/2026,"MXN$ 9,235.46",9/4/2026,"MXN$ 9,117.62",(MXN$ 101.59),(MXN$ 16.25),746029729460406
8130229545,6/4/2026,MXN$ 383.80,9/4/2026,MXN$ 378.90,(MXN$ 4.22),(MXN$ 0.68),813022954560406
8267599470,6/4/2026,"MXN$ 1,786.32",9/4/2026,"MXN$ 1,763.53",(MXN$ 19.65),(MXN$ 3.14),826759947060406
8483272829,6/4/2026,"MXN$ 1,943.36",9/4/2026,"MXN$ 1,918.56",(MXN$ 21.38),(MXN$ 3.42),848327282960406
8483272829,6/4/2026,"MXN$ 1,965.17",9/4/2026,"MXN$ 1,940.09",(MXN$ 21.62),(MXN$ 3.46),848327282960407
8488519166,6/4/2026,MXN$ 650.73,9/4/2026,MXN$ 642.42,(MXN$ 7.16),(MXN$ 1.15),848851916660406
8881106140,6/4/2026,"MXN$ 2,209.76",9/4/2026,"MXN$ 2,181.56",(MXN$ 24.31),(MXN$ 3.89),000011
9350041845,6/4/2026,"MXN$ 3,401.69",9/4/2026,"MXN$ 3,358.28",(MXN$ 37.42),(MXN$ 5.99),935004184560406
9350962107,6/4/2026,"MXN$ 5,734.47",9/4/2026,"MXN$ 5,661.30",(MXN$ 63.08),(MXN$ 10.09),935096210760406
9350962107,6/4/2026,MXN$ 713.70,9/4/2026,MXN$ 704.59,(MXN$ 7.85),(MXN$ 1.26),935096210760407
9351619052,6/4/2026,"MXN$ 1,150.00",9/4/2026,"MXN$ 1,135.33",(MXN$ 12.65),(MXN$ 2.02),935161905260406
9351619078,6/4/2026,"MXN$ 1,773.50",9/4/2026,"MXN$ 1,750.87",(MXN$ 19.51),(MXN$ 3.12),935161907860406
9351619078,6/4/2026,MXN$ 200.00,9/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),935161907860407
9351619102,6/4/2026,"MXN$ 1,000.00",9/4/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76),935161910260406
9351619110,6/4/2026,"MXN$ 2,262.29",9/4/2026,"MXN$ 2,233.42",(MXN$ 24.89),(MXN$ 3.98),935161911060406
9351619110,6/4/2026,"MXN$ 3,220.42",9/4/2026,"MXN$ 3,179.33",(MXN$ 35.42),(MXN$ 5.67),935161911060407
9351619185,6/4/2026,"MXN$ 1,948.18",9/4/2026,"MXN$ 1,923.32",(MXN$ 21.43),(MXN$ 3.43),935161918560406
9351619185,6/4/2026,MXN$ 767.60,9/4/2026,MXN$ 757.81,(MXN$ 8.44),(MXN$ 1.35),935161918560407
9351619227,6/4/2026,MXN$ 500.00,9/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935161922760406
9351619250,6/4/2026,MXN$ 200.00,9/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),935161925060407
9351621314,6/4/2026,MXN$ 500.00,9/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935162131460406
9351621322,6/4/2026,MXN$ 926.99,9/4/2026,MXN$ 915.16,(MXN$ 10.20),(MXN$ 1.63),935162132260406
9353699482,7/4/2026,MXN$ 600.00,9/4/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06),935369948260407
7160841268,1/4/2026,MXN$ 363.67,8/4/2026,MXN$ 359.03,(MXN$ 4.00),(MXN$ 0.64),716084126860401
7160841268,1/4/2026,MXN$ 423.37,8/4/2026,MXN$ 417.96,(MXN$ 4.66),(MXN$ 0.75),716084126860402
7160841268,2/4/2026,MXN$ 500.01,8/4/2026,MXN$ 493.63,(MXN$ 5.50),(MXN$ 0.88),716084126860402
7160841268,3/4/2026,"MXN$ 1,269.18",8/4/2026,"MXN$ 1,252.99",(MXN$ 13.96),(MXN$ 2.23),716084126860404
7160841268,5/4/2026,"MXN$ 1,286.19",8/4/2026,"MXN$ 1,269.78",(MXN$ 14.15),(MXN$ 2.26),716084126860405
7460282536,1/4/2026,"MXN$ 9,545.08",8/4/2026,"MXN$ 9,423.28",(MXN$ 105.00),(MXN$ 16.80),746028253660401
7460282536,2/4/2026,"MXN$ 6,992.34",8/4/2026,"MXN$ 6,903.11",(MXN$ 76.92),(MXN$ 12.31),746028253660402
7460282536,2/4/2026,"MXN$ 1,020.49",8/4/2026,"MXN$ 1,007.46",(MXN$ 11.23),(MXN$ 1.80),746028253660403
7460282536,3/4/2026,"MXN$ 1,872.84",8/4/2026,"MXN$ 1,848.94",(MXN$ 20.60),(MXN$ 3.30),746028253660403
7460282536,4/4/2026,"MXN$ 5,244.18",8/4/2026,"MXN$ 5,177.26",(MXN$ 57.69),(MXN$ 9.23),746028253660404
7460282536,5/4/2026,"MXN$ 3,596.43",8/4/2026,"MXN$ 3,550.54",(MXN$ 39.56),(MXN$ 6.33),746028253660405
7460282536,5/4/2026,MXN$ 603.35,8/4/2026,MXN$ 595.65,(MXN$ 6.64),(MXN$ 1.06),746028253660406
7460297294,1/4/2026,"MXN$ 1,079.55",8/4/2026,"MXN$ 1,065.77",(MXN$ 11.88),(MXN$ 1.90),000207
7460297294,1/4/2026,"MXN$ 12,740.54",8/4/2026,"MXN$ 12,577.97",(MXN$ 140.15),(MXN$ 22.42),746029729460401
7460297294,1/4/2026,MXN$ 861.98,8/4/2026,MXN$ 850.98,(MXN$ 9.48),(MXN$ 1.52),746029729460402
7460297294,2/4/2026,"MXN$ 5,110.05",8/4/2026,"MXN$ 5,044.85",(MXN$ 56.21),(MXN$ 8.99),746029729460402
7460297294,3/4/2026,"MXN$ 3,170.89",8/4/2026,"MXN$ 3,130.43",(MXN$ 34.88),(MXN$ 5.58),746029729460403
7460297294,4/4/2026,"MXN$ 12,519.02",8/4/2026,"MXN$ 12,359.28",(MXN$ 137.71),(MXN$ 22.03),746029729460404
7460297294,4/4/2026,"MXN$ 1,307.93",8/4/2026,"MXN$ 1,291.24",(MXN$ 14.39),(MXN$ 2.30),746029729460405
7460297294,5/4/2026,"MXN$ 12,233.41",8/4/2026,"MXN$ 12,077.31",(MXN$ 134.57),(MXN$ 21.53),746029729460405
7460297294,5/4/2026,"MXN$ 1,909.39",8/4/2026,"MXN$ 1,885.03",(MXN$ 21.00),(MXN$ 3.36),746029729460406
8130229545,1/4/2026,MXN$ 738.99,8/4/2026,MXN$ 729.56,(MXN$ 8.13),(MXN$ 1.30),813022954560401
8130229545,1/4/2026,"MXN$ 1,076.76",8/4/2026,"MXN$ 1,063.02",(MXN$ 11.84),(MXN$ 1.90),813022954560402
8130229545,3/4/2026,MXN$ 717.01,8/4/2026,MXN$ 707.86,(MXN$ 7.89),(MXN$ 1.26),813022954560403
8130229545,5/4/2026,MXN$ 815.08,8/4/2026,MXN$ 804.68,(MXN$ 8.97),(MXN$ 1.43),813022954560406
8265241414,1/4/2026,MXN$ 778.36,8/4/2026,MXN$ 768.43,(MXN$ 8.56),(MXN$ 1.37),826524141460401
8265241414,2/4/2026,MXN$ 200.01,8/4/2026,MXN$ 197.46,(MXN$ 2.20),(MXN$ 0.35),826524141460402
8265241414,2/4/2026,"MXN$ 1,667.40",8/4/2026,"MXN$ 1,646.13",(MXN$ 18.34),(MXN$ 2.93),826524141460403
8265241414,3/4/2026,"MXN$ 1,981.85",8/4/2026,"MXN$ 1,956.56",(MXN$ 21.80),(MXN$ 3.49),826524141460403
8265241414,3/4/2026,MXN$ 877.99,8/4/2026,MXN$ 866.78,(MXN$ 9.66),(MXN$ 1.55),826524141460404
8265241414,5/4/2026,MXN$ 200.00,8/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),826524141460405
8267599470,2/4/2026,MXN$ 420.59,8/4/2026,MXN$ 415.22,(MXN$ 4.63),(MXN$ 0.74),826759947060402
8267599470,4/4/2026,"MXN$ 1,091.90",8/4/2026,"MXN$ 1,077.97",(MXN$ 12.01),(MXN$ 1.92),826759947060404
8267599470,5/4/2026,"MXN$ 1,443.30",8/4/2026,"MXN$ 1,424.88",(MXN$ 15.88),(MXN$ 2.54),826759947060405
8483272829,1/4/2026,"MXN$ 2,924.19",8/4/2026,"MXN$ 2,886.87",(MXN$ 32.17),(MXN$ 5.15),848327282960401
8483272829,2/4/2026,"MXN$ 2,186.47",8/4/2026,"MXN$ 2,158.57",(MXN$ 24.05),(MXN$ 3.85),848327282960402
8483272829,3/4/2026,MXN$ 383.80,8/4/2026,MXN$ 378.90,(MXN$ 4.22),(MXN$ 0.68),848327282960403
8483272829,4/4/2026,"MXN$ 1,000.00",8/4/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76),848327282960404
8483272829,5/4/2026,MXN$ 815.86,8/4/2026,MXN$ 805.45,(MXN$ 8.97),(MXN$ 1.44),848327282960405
8488519166,1/4/2026,MXN$ 601.32,8/4/2026,MXN$ 593.65,(MXN$ 6.61),(MXN$ 1.06),848851916660401
8488519166,2/4/2026,MXN$ 539.92,8/4/2026,MXN$ 533.03,(MXN$ 5.94),(MXN$ 0.95),848851916660403
8488519166,3/4/2026,"MXN$ 1,538.54",8/4/2026,"MXN$ 1,518.91",(MXN$ 16.92),(MXN$ 2.71),848851916660403
8488519166,4/4/2026,MXN$ 169.49,8/4/2026,MXN$ 167.33,(MXN$ 1.86),(MXN$ 0.30),848851916660404
8488519166,5/4/2026,"MXN$ 1,449.98",8/4/2026,"MXN$ 1,431.48",(MXN$ 15.95),(MXN$ 2.55),848851916660405
9350041845,1/4/2026,"MXN$ 1,874.84",8/4/2026,"MXN$ 1,850.92",(MXN$ 20.62),(MXN$ 3.30),935004184560401
9350041845,2/4/2026,"MXN$ 1,400.00",8/4/2026,"MXN$ 1,382.14",(MXN$ 15.40),(MXN$ 2.46),935004184560402
9350041845,3/4/2026,"MXN$ 2,367.10",8/4/2026,"MXN$ 2,336.89",(MXN$ 26.04),(MXN$ 4.17),935004184560403
9350041845,4/4/2026,"MXN$ 1,100.00",8/4/2026,"MXN$ 1,085.96",(MXN$ 12.10),(MXN$ 1.94),935004184560404
9350041845,5/4/2026,"MXN$ 1,209.44",8/4/2026,"MXN$ 1,194.01",(MXN$ 13.30),(MXN$ 2.13),935004184560405
9350962107,1/4/2026,"MXN$ 10,578.11",8/4/2026,"MXN$ 10,443.13",(MXN$ 116.36),(MXN$ 18.62),935096210760401
9350962107,1/4/2026,"MXN$ 4,251.22",8/4/2026,"MXN$ 4,196.98",(MXN$ 46.76),(MXN$ 7.48),935096210760402
9350962107,2/4/2026,"MXN$ 4,061.54",8/4/2026,"MXN$ 4,009.71",(MXN$ 44.68),(MXN$ 7.15),935096210760402
9350962107,2/4/2026,MXN$ 880.65,8/4/2026,MXN$ 869.41,(MXN$ 9.69),(MXN$ 1.55),935096210760403
9350962107,3/4/2026,"MXN$ 2,152.73",8/4/2026,"MXN$ 2,125.26",(MXN$ 23.68),(MXN$ 3.79),935096210760403
9350962107,4/4/2026,"MXN$ 5,187.02",8/4/2026,"MXN$ 5,120.83",(MXN$ 57.06),(MXN$ 9.13),935096210760404
9350962107,5/4/2026,"MXN$ 7,380.20",8/4/2026,"MXN$ 7,286.03",(MXN$ 81.18),(MXN$ 12.99),935096210760405
9351619052,1/4/2026,MXN$ 929.60,8/4/2026,MXN$ 917.73,(MXN$ 10.23),(MXN$ 1.64),935161905260401
9351619052,1/4/2026,MXN$ 400.00,8/4/2026,MXN$ 394.90,(MXN$ 4.40),(MXN$ 0.70),935161905260402
9351619052,2/4/2026,"MXN$ 1,423.10",8/4/2026,"MXN$ 1,404.95",(MXN$ 15.65),(MXN$ 2.50),935161905260402
9351619052,2/4/2026,MXN$ 200.00,8/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),935161905260403
9351619052,3/4/2026,MXN$ 150.00,8/4/2026,MXN$ 148.09,(MXN$ 1.65),(MXN$ 0.26),935161905260403
9351619052,5/4/2026,"MXN$ 1,301.66",8/4/2026,"MXN$ 1,285.05",(MXN$ 14.32),(MXN$ 2.29),935161905260405
9351619060,1/4/2026,MXN$ 383.80,8/4/2026,MXN$ 378.90,(MXN$ 4.22),(MXN$ 0.68),935161906060401
9351619060,5/4/2026,MXN$ 200.00,8/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),935161906060405
9351619078,2/4/2026,MXN$ 600.00,8/4/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06),935161907860402
9351619078,5/4/2026,MXN$ 575.70,8/4/2026,MXN$ 568.36,(MXN$ 6.33),(MXN$ 1.01),935161907860405
9351619086,4/4/2026,MXN$ 700.00,8/4/2026,MXN$ 691.07,(MXN$ 7.70),(MXN$ 1.23),935161908660404
9351619102,1/4/2026,MXN$ 800.00,8/4/2026,MXN$ 789.79,(MXN$ 8.80),(MXN$ 1.41),935161910260401
9351619102,1/4/2026,MXN$ 576.51,8/4/2026,MXN$ 569.16,(MXN$ 6.34),(MXN$ 1.01),935161910260402
9351619102,2/4/2026,MXN$ 900.04,8/4/2026,MXN$ 888.56,(MXN$ 9.90),(MXN$ 1.58),935161910260402
9351619102,2/4/2026,MXN$ 600.00,8/4/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06),935161910260403
9351619102,3/4/2026,"MXN$ 1,074.64",8/4/2026,"MXN$ 1,060.93",(MXN$ 11.82),(MXN$ 1.89),935161910260404
9351619102,4/4/2026,MXN$ 719.57,8/4/2026,MXN$ 710.38,(MXN$ 7.92),(MXN$ 1.27),935161910260404
9351619110,1/4/2026,"MXN$ 6,799.84",8/4/2026,"MXN$ 6,713.07",(MXN$ 74.80),(MXN$ 11.97),935161911060401
9351619110,1/4/2026,"MXN$ 1,742.75",8/4/2026,"MXN$ 1,720.51",(MXN$ 19.17),(MXN$ 3.07),935161911060402
9351619110,2/4/2026,"MXN$ 2,308.21",8/4/2026,"MXN$ 2,278.76",(MXN$ 25.39),(MXN$ 4.06),935161911060402
9351619110,2/4/2026,"MXN$ 2,637.73",8/4/2026,"MXN$ 2,604.07",(MXN$ 29.02),(MXN$ 4.64),935161911060403
9351619110,3/4/2026,"MXN$ 3,273.17",8/4/2026,"MXN$ 3,231.41",(MXN$ 36.00),(MXN$ 5.76),935161911060403
9351619110,3/4/2026,"MXN$ 1,000.00",8/4/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76),935161911060404
9351619110,4/4/2026,"MXN$ 3,046.35",8/4/2026,"MXN$ 3,007.48",(MXN$ 33.51),(MXN$ 5.36),935161911060404
9351619110,5/4/2026,"MXN$ 3,459.20",8/4/2026,"MXN$ 3,415.06",(MXN$ 38.05),(MXN$ 6.09),935161911060405
9351619169,1/4/2026,MXN$ 875.70,8/4/2026,MXN$ 864.53,(MXN$ 9.63),(MXN$ 1.54),935161916960401
9351619169,4/4/2026,MXN$ 400.00,8/4/2026,MXN$ 394.90,(MXN$ 4.40),(MXN$ 0.70),935161916960404
9351619185,2/4/2026,"MXN$ 1,420.41",8/4/2026,"MXN$ 1,402.29",(MXN$ 15.62),(MXN$ 2.50),935161918560402
9351619185,3/4/2026,MXN$ 767.60,8/4/2026,MXN$ 757.81,(MXN$ 8.44),(MXN$ 1.35),935161918560403
9351619185,4/4/2026,MXN$ 575.70,8/4/2026,MXN$ 568.36,(MXN$ 6.33),(MXN$ 1.01),935161918560404
9351619227,3/4/2026,MXN$ 200.00,8/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),935161922760403
9351619227,2/4/2026,MXN$ 500.00,8/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935161922760403
9351619227,3/4/2026,MXN$ 150.00,8/4/2026,MXN$ 148.09,(MXN$ 1.65),(MXN$ 0.26),935161922760404
9351619227,4/4/2026,MXN$ 200.00,8/4/2026,MXN$ 197.45,(MXN$ 2.20),(MXN$ 0.35),935161922760405
9351619250,2/4/2026,MXN$ 250.00,8/4/2026,MXN$ 246.81,(MXN$ 2.75),(MXN$ 0.44),935161925060402
9351619250,1/4/2026,"MXN$ 1,937.65",8/4/2026,"MXN$ 1,912.93",(MXN$ 21.31),(MXN$ 3.41),935161925060402
9351619250,5/4/2026,MXN$ 600.00,8/4/2026,MXN$ 592.34,(MXN$ 6.60),(MXN$ 1.06),935161925060405
9351619284,3/4/2026,MXN$ 500.00,8/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935161928460404
9351621314,2/4/2026,"MXN$ 1,432.82",8/4/2026,"MXN$ 1,414.54",(MXN$ 15.76),(MXN$ 2.52),935162131460402
9351621314,5/4/2026,MXN$ 900.00,8/4/2026,MXN$ 888.52,(MXN$ 9.90),(MXN$ 1.58),935162131460405
9351621322,1/4/2026,MXN$ 300.00,8/4/2026,MXN$ 296.17,(MXN$ 3.30),(MXN$ 0.53),935162132260401
9351621322,2/4/2026,MXN$ 500.00,8/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935162132260403
9351621322,4/4/2026,MXN$ 688.40,8/4/2026,MXN$ 679.62,(MXN$ 7.57),(MXN$ 1.21),935162132260404
9351621322,5/4/2026,MXN$ 500.00,8/4/2026,MXN$ 493.62,(MXN$ 5.50),(MXN$ 0.88),935162132260406
9353699482,6/4/2026,MXN$ 865.27,8/4/2026,MXN$ 854.23,(MXN$ 9.52),(MXN$ 1.52),935369948260406
9359716272,1/4/2026,"MXN$ 43,052.86",8/4/2026,"MXN$ 42,503.51",(MXN$ 473.58),(MXN$ 75.77),000123
7160841268,31/3/2026,MXN$ 513.80,7/4/2026,MXN$ 507.25,(MXN$ 5.65),(MXN$ 0.90),716084126860331
7460282536,31/3/2026,MXN$ 706.58,7/4/2026,MXN$ 697.57,(MXN$ 7.77),(MXN$ 1.24),746028253660331
7460282536,31/3/2026,"MXN$ 1,355.32",7/4/2026,"MXN$ 1,338.02",(MXN$ 14.91),(MXN$ 2.39),746028253660401
7460297294,31/3/2026,"MXN$ 12,416.98",7/4/2026,"MXN$ 12,258.54",(MXN$ 136.59),(MXN$ 21.85),746029729460331
8130229545,31/3/2026,"MXN$ 4,041.54",7/4/2026,"MXN$ 3,989.97",(MXN$ 44.46),(MXN$ 7.11),813022954560331
8267599470,31/3/2026,"MXN$ 1,180.02",7/4/2026,"MXN$ 1,164.96",(MXN$ 12.98),(MXN$ 2.08),826759947060331
8483272829,31/3/2026,"MXN$ 2,131.41",7/4/2026,"MXN$ 2,104.21",(MXN$ 23.45),(MXN$ 3.75),848327282960331
8488519166,31/3/2026,"MXN$ 2,094.08",7/4/2026,"MXN$ 2,067.36",(MXN$ 23.03),(MXN$ 3.69),848851916660331
9350041845,31/3/2026,"MXN$ 1,967.53",7/4/2026,"MXN$ 1,942.43",(MXN$ 21.64),(MXN$ 3.46),935004184560331
9350041845,31/3/2026,"MXN$ 2,080.72",7/4/2026,"MXN$ 2,054.17",(MXN$ 22.89),(MXN$ 3.66),935004184560401
9350962107,31/3/2026,"MXN$ 5,484.59",7/4/2026,"MXN$ 5,414.61",(MXN$ 60.33),(MXN$ 9.65),935096210760331
9350962107,31/3/2026,"MXN$ 1,146.32",7/4/2026,"MXN$ 1,131.69",(MXN$ 12.61),(MXN$ 2.02),935096210760401
9351619052,31/3/2026,"MXN$ 6,313.28",7/4/2026,"MXN$ 6,232.72",(MXN$ 69.45),(MXN$ 11.11),935161905260331
9351619078,31/3/2026,"MXN$ 1,000.00",7/4/2026,MXN$ 987.24,(MXN$ 11.00),(MXN$ 1.76),935161907860331
9351619086,31/3/2026,"MXN$ 4,124.67",7/4/2026,"MXN$ 4,072.04",(MXN$ 45.37),(MXN$ 7.26),935161908660331
